State,Value,Timestamp,Datetime,Formatted Date
UTTAR-PRADESH,14790,1739294309.1050599,2025-02-11 22:48:29.105060,2025-02-11 22:48:29
CHANDIGARH,131,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
HARYANA,6397,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
HIMACHAL,1173,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
J & K,2559,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
PUNJAB,5201,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
RAJASTHAN,11816,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
UTTARAKHAND,1982,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
UTTAR-PRADESH,14332,1739295168.694596,2025-02-11 23:02:48.694596,2025-02-11 23:02:48
CHANDIGARH,126,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
HARYANA,6250,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
HIMACHAL,1144,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
J & K,2591,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
PUNJAB,5094,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
RAJASTHAN,11613,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
UTTARAKHAND,1931,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
UTTAR-PRADESH,14050,1739296111.9721909,2025-02-11 23:18:31.972191,2025-02-11 23:18:31
CHANDIGARH,117,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
HARYANA,6199,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
HIMACHAL,1163,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
J & K,2522,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
PUNJAB,5020,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
RAJASTHAN,11550,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
UTTARAKHAND,1890,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
UTTAR-PRADESH,13763,1739296970.862903,2025-02-11 23:32:50.862903,2025-02-11 23:32:50
CHANDIGARH,113,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
HARYANA,6069,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
HIMACHAL,1147,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
J & K,2474,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
PUNJAB,4898,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
RAJASTHAN,11449,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
UTTARAKHAND,1879,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
UTTAR-PRADESH,13532,1739297871.263536,2025-02-11 23:47:51.263536,2025-02-11 23:47:51
CHANDIGARH,108,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
HARYANA,6042,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
HIMACHAL,1136,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
J & K,2429,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
PUNJAB,4854,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
RAJASTHAN,11353,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
UTTARAKHAND,1857,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
UTTAR-PRADESH,13343,1739298771.4549592,2025-02-12 00:02:51.454959,2025-02-12 00:02:51
CHANDIGARH,106,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
HARYANA,5910,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
HIMACHAL,1122,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
J & K,2420,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
PUNJAB,4759,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
RAJASTHAN,11120,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
UTTARAKHAND,1845,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
UTTAR-PRADESH,13056,1739299713.3290718,2025-02-12 00:18:33.329072,2025-02-12 00:18:33
CHANDIGARH,106,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
HARYANA,5847,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
HIMACHAL,1125,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
J & K,2385,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
PUNJAB,4791,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
RAJASTHAN,11096,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
UTTARAKHAND,1836,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
UTTAR-PRADESH,12927,1739300572.8440566,2025-02-12 00:32:52.844057,2025-02-12 00:32:52
CHANDIGARH,103,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
HARYANA,5821,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
HIMACHAL,1106,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
J & K,2347,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
PUNJAB,4767,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
RAJASTHAN,10889,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
UTTARAKHAND,1839,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
UTTAR-PRADESH,12764,1739301545.114026,2025-02-12 00:49:05.114026,2025-02-12 00:49:05
CHANDIGARH,101,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
HARYANA,5808,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
HIMACHAL,1108,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
J & K,2306,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
PUNJAB,4696,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
RAJASTHAN,10830,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
UTTARAKHAND,1805,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
UTTAR-PRADESH,12786,1739302391.6211267,2025-02-12 01:03:11.621127,2025-02-12 01:03:11
CHANDIGARH,98,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
HARYANA,5661,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
HIMACHAL,1107,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
J & K,2262,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
PUNJAB,4624,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
RAJASTHAN,10616,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
UTTARAKHAND,1817,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
UTTAR-PRADESH,12566,1739303292.2143266,2025-02-12 01:18:12.214327,2025-02-12 01:18:12
CHANDIGARH,96,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
HARYANA,5660,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
HIMACHAL,1091,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
J & K,2232,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
PUNJAB,4615,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
RAJASTHAN,10601,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
UTTARAKHAND,1784,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
UTTAR-PRADESH,12418,1739304243.3805933,2025-02-12 01:34:03.380593,2025-02-12 01:34:03
CHANDIGARH,96,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
HARYANA,5665,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
HIMACHAL,1069,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
J & K,2222,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
PUNJAB,4675,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
RAJASTHAN,10545,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
UTTARAKHAND,1800,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
UTTAR-PRADESH,12285,1739305094.5739553,2025-02-12 01:48:14.573955,2025-02-12 01:48:14
CHANDIGARH,94,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
HARYANA,5648,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
HIMACHAL,1078,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
J & K,2198,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
PUNJAB,4626,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
RAJASTHAN,10474,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
UTTARAKHAND,1797,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
UTTAR-PRADESH,12271,1739305994.9799085,2025-02-12 02:03:14.979908,2025-02-12 02:03:14
CHANDIGARH,91,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
HARYANA,5682,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
HIMACHAL,1074,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
J & K,2183,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
PUNJAB,4638,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
RAJASTHAN,10455,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
UTTARAKHAND,1786,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
UTTAR-PRADESH,12171,1739306894.5761666,2025-02-12 02:18:14.576167,2025-02-12 02:18:14
CHANDIGARH,91,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
HARYANA,5633,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
HIMACHAL,1081,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
J & K,2173,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
PUNJAB,4586,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
RAJASTHAN,10436,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
UTTARAKHAND,1782,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
UTTAR-PRADESH,12083,1739307794.7685368,2025-02-12 02:33:14.768537,2025-02-12 02:33:14
CHANDIGARH,90,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
HARYANA,5625,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
HIMACHAL,1078,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
J & K,2144,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
PUNJAB,4649,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
RAJASTHAN,10411,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
UTTARAKHAND,1778,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
UTTAR-PRADESH,11971,1739308736.3800075,2025-02-12 02:48:56.380008,2025-02-12 02:48:56
CHANDIGARH,92,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
HARYANA,5605,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
HIMACHAL,1089,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
J & K,2143,1739309595.3860881,2025-02-12 03:03:15.386088,2025-02-12 03:03:15
